,epochs,beta,lr,total_loss,total_loss_te,RCE_mol_loss,RCE_mol_loss_te,RCE_prop_loss,RCE_prop_loss_te,KLD_loss,KLD_loss_te,cond_score,valid,novelty,duplicates,diversity,SA_of_ineterested_cond
0,1,0.02,4.754536089454568e-07,374.68381046289875,,189.0843229889043,,0.0,,9279.974341192788,,,,,,,
1,1,0.02,9.509072178909136e-07,311.0624273931227,,151.57023747289344,,0.0,,7974.609820322181,,,,,,,
2,1,0.02,1.4263608268363703e-06,290.2641804771106,,138.36229191438764,,0.0,,7595.0945303210465,,,,,,,
3,1,0.02,1.9018144357818272e-06,319.58873189938294,,151.356228385002,,0.0,,8411.625497611465,,,,,,,
4,1,0.02,1.9018144357818272e-06,319.58873189938294,302.4708744165382,151.356228385002,167.86271178369805,0.0,0.0,8411.625497611465,6730.408319772753,0,1.0,0.0,,,0.0
5,2,0.04,2.3772680447272835e-06,463.7925411049837,,173.86230229396446,,0.0,,7248.255821078431,,,,,,,
6,2,0.04,2.8527216536727406e-06,318.9689474126344,,108.14535660282257,,0.0,,5270.589784946236,,,,,,,
7,2,0.04,3.3281752626181973e-06,333.6835838732617,,115.37364194848293,,0.0,,5457.748656763591,,,,,,,
8,2,0.04,3.8036288715636544e-06,355.96889707266564,,130.56904179216866,,0.0,,5634.996517319277,,,,,,,
9,2,0.04,3.8036288715636544e-06,355.96889707266564,284.35591392957065,130.56904179216866,110.03433517137184,0.0,0.0,5634.996517319277,4358.03956477675,0,1.0,0.0,,,0.0
10,3,0.06,4.279082480509111e-06,301.09308117778363,,86.52955435103729,,0.0,,3576.0589548319326,,,,,,,
11,3,0.06,4.754536089454567e-06,375.5485625944109,,123.27750011801359,,0.0,,4204.517749244713,,,,,,,
12,3,0.06,5.2299896984000245e-06,288.6085765251308,,100.43289417215527,,0.0,,3136.2614676756352,,,,,,,
13,3,0.06,5.705443307345481e-06,285.09596025910366,,107.60295758928571,,0.0,,2958.216824229692,,,,,,,
14,3,0.06,5.705443307345481e-06,285.09596025910366,245.36724905789654,107.60295758928571,96.54357161592155,0.0,0.0,2958.216824229692,2480.3946851447413,0,1.0,0.0,,,0.0
15,4,0.08,6.180896916290938e-06,275.7765690337515,,87.22514724275688,,0.0,,2356.8928091397847,,,,,,,
16,4,0.08,6.6563505252363945e-06,249.55243352689487,,88.79704571936125,,0.0,,2009.4423899755502,,,,,,,
17,4,0.08,7.131804134181851e-06,244.10323290172641,,95.22064995227424,,0.0,,1861.0323705179283,,,,,,,
18,4,0.08,7.607257743127309e-06,239.90936040959252,,100.95361949875318,,0.0,,1736.9468643887947,,,,,,,
19,4,0.08,7.607257743127309e-06,239.90936040959252,204.91606497168337,100.95361949875318,89.14814356661992,0.0,0.0,1736.9468643887947,1447.099049331963,0,1.0,0.0,,,0.0
